FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
199,0.15805,0.75366,-0.074771,-0.007174,0.48379,-0.060695,-0.16364,0.35797,-0.017829,0.28181,0.49239,-0.02018,0.45469,0.39589,0.006613,-0.1964,0.38642,-0.13903,0.49035,0.48933,-0.14075,0.049479,0.015146,-0.087719,0.1906,0.008105,-0.081874,0.007296,-0.33737,-0.17497,0.18356,-0.36709,-0.10213,-0.011758,-0.73419,-0.16191,0.13036,-0.74866,-0.060835
200,0.17917,0.75111,-0.093863,0.011134,0.47932,-0.078914,-0.13016,0.32606,-0.023236,0.29874,0.48619,-0.033838,0.45964,0.3605,-0.002508,-0.16941,0.31788,-0.14502,0.4994,0.42735,-0.16421,0.070424,0.012471,-0.10256,0.21137,0.005337,-0.093941,0.040908,-0.33774,-0.21102,0.1955,-0.36962,-0.12052,0.041329,-0.72669,-0.21056,0.13019,-0.7459,-0.06093
201,0.20085,0.74784,-0.11437,0.029797,0.47473,-0.098899,-0.095089,0.29969,-0.030686,0.31643,0.48025,-0.049669,0.46456,0.33174,-0.013941,-0.14296,0.25112,-0.1499,0.50923,0.36788,-0.18839,0.091677,0.009629,-0.11885,0.23255,0.002298,-0.10811,0.075935,-0.33858,-0.24809,0.20785,-0.36962,-0.13489,0.09873,-0.71715,-0.26106,0.13029,-0.74325,-0.063853
202,0.22267,0.74431,-0.13563,0.048783,0.47048,-0.1199,-0.061516,0.27707,-0.040323,0.33417,0.47454,-0.066244,0.4705,0.30368,-0.030826,-0.11663,0.18948,-0.15549,0.51873,0.3163,-0.21617,0.11299,0.007309,-0.13629,0.25365,-0.00035,-0.12273,0.11192,-0.33911,-0.28569,0.2208,-0.36962,-0.15292,0.16073,-0.70827,-0.31537,0.13119,-0.7411,-0.066858
203,0.24359,0.74074,-0.1578,0.065635,0.46781,-0.14135,-0.033546,0.26485,-0.053252,0.3516,0.46831,-0.084899,0.47576,0.2839,-0.04905,-0.090869,0.14336,-0.16164,0.52904,0.27368,-0.24206,0.13244,0.005507,-0.15419,0.27393,-0.002962,-0.13917,0.14656,-0.33843,-0.32063,0.23422,-0.36962,-0.17167,0.22283,-0.69798,-0.36962,0.13234,-0.73601,-0.070932
204,0.27049,0.73754,-0.18781,0.086644,0.46675,-0.17042,-0.001724,0.25504,-0.07707,0.37452,0.46256,-0.11208,0.48669,0.26615,-0.079501,-0.059535,0.10547,-0.1725,0.54759,0.23261,-0.27917,0.15771,0.004619,-0.18088,0.29979,-0.005908,-0.16282,0.18718,-0.33694,-0.36251,0.24634,-0.36968,-0.19177,0.28831,-0.68718,-0.42476,0.134,-0.73041,-0.079042
205,0.3013,0.73444,-0.22315,0.11339,0.46675,-0.20558,0.032113,0.25183,-0.10712,0.40121,0.4572,-0.14497,0.50337,0.25166,-0.1185,-0.02509,0.075229,-0.18962,0.56987,0.19929,-0.31936,0.18593,0.004086,-0.21098,0.32902,-0.008589,-0.19095,0.22861,-0.33454,-0.40529,0.26078,-0.36953,-0.21392,0.35165,-0.67457,-0.48175,0.13743,-0.7222,-0.087875
206,0.33352,0.73169,-0.26226,0.1414,0.46694,-0.24385,0.060122,0.25183,-0.14605,0.42964,0.45288,-0.18261,0.52558,0.24361,-0.16658,0.008334,0.065615,-0.2153,0.59684,0.18484,-0.36261,0.21305,0.004224,-0.24372,0.35649,-0.010648,-0.2235,0.25948,-0.33234,-0.43885,0.27855,-0.36888,-0.22904,0.39155,-0.66181,-0.52138,0.1436,-0.71362,-0.097159
207,0.36733,0.72895,-0.30374,0.17129,0.46694,-0.28405,0.088595,0.25183,-0.18982,0.45927,0.44921,-0.22295,0.55139,0.24276,-0.21781,0.039864,0.060867,-0.24567,0.62637,0.17493,-0.40682,0.24015,0.004224,-0.27704,0.3838,-0.012922,-0.2576,0.2859,-0.32666,-0.46612,0.29905,-0.36978,-0.27904,0.4198,-0.64882,-0.54752,0.16035,-0.69524,-0.12259
208,0.40187,0.72654,-0.3461,0.20137,0.46694,-0.32418,0.11655,0.25183,-0.23374,0.48916,0.44596,-0.26434,0.5793,0.24276,-0.26917,0.069817,0.058339,-0.27775,0.65612,0.1667,-0.45134,0.26699,0.004224,-0.31047,0.41057,-0.015026,-0.29152,0.31171,-0.32128,-0.49276,0.31894,-0.36982,-0.3256,0.44039,-0.63847,-0.5671,0.17806,-0.67728,-0.14866
