timestamp_ms,classification,confidence,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z
1776843397953,Deep,0.800,-0.0356,-0.5710,-0.1691,0.1413,-0.4549,-0.0736,-0.1880,-0.4619,-0.0687,0.1057,-0.4334,-0.3180,-0.1919,-0.4460,-0.3078,0.0349,-0.5698,-0.5289,-0.1456,-0.5901,-0.5004,0.1182,-0.0031,-0.0106,-0.1188,0.0026,0.0112,0.2795,0.1098,-0.3292,-0.2473,0.1666,-0.3035,0.1729,0.4615,-0.1414,-0.1820,0.4798,-0.1080
1776843398207,Shallow,0.800,0.0328,-0.4042,-0.3179,0.1291,-0.3790,-0.1798,-0.1361,-0.4489,-0.1874,0.0770,-0.2451,-0.1881,-0.1661,-0.3674,-0.2447,0.0488,-0.2520,-0.2704,-0.1074,-0.3845,-0.3752,0.1021,0.0044,-0.0030,-0.1030,-0.0050,0.0035,0.2007,0.3138,-0.1231,-0.2360,0.3531,-0.1310,0.1656,0.6662,0.0063,-0.2190,0.6925,0.0100
1776843398455,Invalid,0.700,0.0019,-0.1511,-0.5307,0.1102,-0.2069,-0.3561,-0.1477,-0.1749,-0.3306,0.0939,0.0108,-0.2687,-0.1630,0.0390,-0.2552,0.0142,0.2119,-0.2538,-0.2153,0.2517,-0.2486,0.0973,-0.0057,-0.0094,-0.0984,0.0051,0.0102,0.1736,0.3674,-0.0654,-0.2271,0.3737,-0.0477,0.1541,0.7291,0.0496,-0.2105,0.7627,0.0615
1776843398708,Invalid,0.700,0.0206,-0.1509,-0.5691,0.1183,-0.2117,-0.3519,-0.1493,-0.1678,-0.3571,0.0931,-0.0331,-0.2034,-0.1508,0.0431,-0.2868,0.0380,0.1639,-0.1246,-0.1706,0.2575,-0.2854,0.0986,-0.0074,-0.0006,-0.0998,0.0069,0.0016,0.1708,0.3631,-0.0507,-0.2061,0.3732,-0.0431,0.1556,0.7233,0.0563,-0.2069,0.7437,0.0512
1776843398957,Shallow,0.800,0.0444,-0.4946,-0.2342,0.1240,-0.4345,-0.1083,-0.1369,-0.4688,-0.1407,0.0767,-0.2717,-0.1151,-0.1405,-0.3071,-0.2319,0.0477,-0.2451,-0.1807,-0.0365,-0.2959,-0.3809,0.1022,0.0014,-0.0012,-0.1031,-0.0018,0.0017,0.2042,0.2986,-0.1125,-0.2247,0.3314,-0.1154,0.1662,0.6515,0.0339,-0.1843,0.6875,0.0284
1776843399203,Deep,0.800,0.0017,-0.6143,-0.1983,0.1817,-0.4897,-0.0534,-0.1528,-0.4520,-0.0589,0.3094,-0.7732,-0.1014,-0.2568,-0.5955,-0.1170,0.2463,-0.9316,-0.0347,-0.1503,-0.6884,-0.0638,0.1144,-0.0026,0.0009,-0.1154,0.0024,-0.0001,0.3001,0.0580,-0.3249,-0.2429,0.1008,-0.3284,0.2056,0.4083,-0.1806,-0.1636,0.4015,-0.1716
1776843399456,Deep,0.800,-0.0196,-0.4642,-0.4165,0.1682,-0.4510,-0.2658,-0.1704,-0.4187,-0.2341,0.3121,-0.6893,-0.3398,-0.3072,-0.5702,-0.2786,0.3458,-0.9095,-0.3879,-0.4192,-0.7370,-0.3451,0.1104,0.0002,-0.0100,-0.1113,-0.0008,0.0104,0.3005,0.0048,-0.2855,-0.2441,0.0246,-0.2923,0.2156,0.2822,-0.0594,-0.1985,0.2409,-0.0254
1776843399704,Deep,0.800,-0.0029,-0.5817,-0.2613,0.1568,-0.4760,-0.1289,-0.1773,-0.4734,-0.1247,0.2088,-0.5944,-0.2676,-0.2344,-0.6492,-0.2698,0.0385,-0.6464,-0.3112,-0.1425,-0.7723,-0.2772,0.1195,-0.0125,-0.0056,-0.1203,0.0120,0.0062,0.2994,0.1004,-0.2768,-0.2483,0.1627,-0.2657,0.1982,0.4567,-0.0759,-0.1765,0.4704,-0.0614
1776843399958,Shallow,0.800,0.0411,-0.2664,-0.5083,0.1506,-0.2667,-0.3204,-0.1372,-0.3204,-0.3244,0.1222,-0.0272,-0.2388,-0.1424,-0.2343,-0.3019,0.1320,0.1829,-0.2578,-0.1064,-0.2460,-0.3613,0.1045,-0.0002,-0.0030,-0.1052,-0.0006,0.0036,0.2214,0.3192,-0.0627,-0.2295,0.3711,-0.0713,0.1711,0.6676,0.0951,-0.1795,0.6919,0.0952
1776843400204,Invalid,0.700,0.0344,-0.1209,-0.5907,0.1439,-0.1651,-0.3800,-0.1307,-0.1593,-0.3686,0.1061,0.0354,-0.2599,-0.1208,0.0312,-0.2949,0.0696,0.2023,-0.2121,-0.1140,0.2125,-0.2831,0.1045,-0.0025,-0.0095,-0.1056,0.0018,0.0103,0.1773,0.3746,-0.0570,-0.2009,0.3773,-0.0440,0.1743,0.7124,0.0823,-0.1806,0.7290,0.1075
